SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000012,Baneygo,Baneygo,Mine,Openpit,Operating,J00009,Duketon / Regis Resources,122.312500000000000,-27.963343999999999,432379,6906668,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3342,DUKETON,SG51-14,DUKETON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20191210
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655356999999995,-27.318659000000000,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20191210
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188000000003,-26.869470000000000,633823,7027311,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20191210
S0000062,Brittania,Brittania - Mt Hampton,Mine,Tailings storage facility,Operating,J00031,Brittania - Mt Hampton,119.064250999999999,-31.833629999999999,695350,6476148,50,Au,Precious metal,GOLD,Brittania Tailings,N,,Y,,Operating Mine,Public,2734,HOLLETON,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Yilgarn Craton granites,20191210
S0000198,Yarlarweelor,Yarlarweelor North & South,Mine,Openpit,Operating,J00109,Fortnum,118.360354000000001,-25.343679000000002,636897,7196301,50,Au Ag,Precious metal,GOLD,Yarlarweelor,N,,Y,,Operating Mine,Public,2547,MILGUN,SG50-07,ROBINSON RANGE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Bryah Basin,20191210
S0000357,Jupiter,Jupiter - Joanne - Doublejay,Mine,Openpit,Operating,J00256,Mt Morgans,122.219286999999994,-28.807189000000001,423817,6813126,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20191210
S0000379,Last Chance E,Last Chance East,Mine,Unspecified,Operating,J00181,Kanowna - Golden Valley,121.601996999999997,-30.594218999999999,365970,6614535,51,Au,Precious metal,GOLD,Last Chance East,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20191210
S0000389,Harrys Hill,Harrys Hill,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.558027999999993,-31.045010999999999,457826,6565326,51,Au Ag,Precious metal,GOLD,Harrys Hill,N,,Y,,Operating Mine,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20191210
S0000462,Lloyd George,Lloyd George - Gibraltar,Mine,Openpit,Operating,J00218,Gibraltar / Torian,120.967451999999994,-31.040949999999999,306024,6564085,51,Au Ag,Precious metal,GOLD,Lloyd George,N,,Y,,Operating Mine,Public,3035,WOOLGANGIE,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20191210
S0000497,Sabbath,Sabbath,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.465102999999999,-26.505500999999999,646001,7067500,50,Au Ag,Precious metal,GOLD,Sabbath,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Yilgarn Craton granites,20191210
S0000590,Nevoria UG,Nevoria Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.588401000000005,-31.507265000000000,745825,6511275,50,Au,Precious metal,GOLD,Nevoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20191210
S0000642,Enterprise,Enterprise Open Pit,Mine,Openpit,Operating,J04664,Ora Banda / Norton,121.088414000000000,-30.372122000000001,316307,6638430,51,Au Ag,Precious metal,GOLD,Enterprise,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20191210
S0000732,Main Dome,Telfer Main Dome,Mine,Openpit,Operating,J00338,Telfer / Newcrest,122.207117999999994,-21.719564999999999,417996,7598002,51,Au Cu Ag,Precious metal,GOLD,Telfer,Y,Au Cu Ag,Y,,Operating Mine,Public,3354,PATERSON,SF51-06,PATERSON RANGE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Yeneena Basin,20191210
S0000769,Edna May UG,Edna May Underground,Mine,Decline,Operating,J00357,Edna May - Westonia,118.700153999999998,-31.291771000000001,661822,6536815,50,Au Ag Opalc,Precious metal,GOLD,,N,,Y,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,South West Terrane,20191210
S0000770,Edna May,Edna May - Westonia,Mine,Openpit,Operating,J00357,Edna May - Westonia,118.698537999999999,-31.290258000000001,661670,6536985,50,Au W Ag,Precious metal,GOLD,Edna May,N,,Y,,Operating Mine,Public,2635,WESTONIA,SH50-16,SOUTHERN CROSS,"WESTONIA, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Yilgarn Craton granites,20191210
S0000776,Bulletin,Bulletin - Wiluna,Mine,Openpit,Operating,J02624,Matilda,120.246696000000000,-26.611450000000001,225834,7053646,51,Au Lst Ag,Precious metal,GOLD,,N,,,,,Public,2944,WILUNA,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20191210
